QA主題,QA描述,QA回答,QA連結
什麼是強化學習 (Reinforcement Learning)?,強化學習是有別於監督學習與非監督學習的一種機器學習方法。讓計算機從什麼都不懂的情況下，自己學習、找到一個解決辦法，這就是強化學習的過程。而強化學習在現實上實現的例子也很多，最有名的就是打敗圍棋高手的AlphaGo，下面我想跟大家簡單討論一下這個主題。,,https://www.cupoy.com/qa/club/ai_tw/0000016D6BA22D97000000016375706F795F72656C656173654B5741535354434C5542/0000017BC46EEF5E0000001F6375706F795F72656C656173655155455354
強化學習RL的三大建立流程為何 ?,強化學習RL跟機器學習的Framework其實是非常相似的，只需要三個步驟。接下來我想跟大家討論一下這個部分。,,https://www.cupoy.com/qa/club/ai_tw/0000016D6BA22D97000000016375706F795F72656C656173654B5741535354434C5542/0000017BC47371C0000000206375706F795F72656C656173655155455354
